currentclimyear,noflowdays,totaldays,annualfractionnoflow,zeroflowfirst,gage_ID
2010,0,365,0,NA,1378500
2011,0,366,0,NA,1378500
2012,0,365,0,NA,1378500
2013,0,365,0,NA,1378500
2014,0,365,0,NA,1378500
2015,0,366,0,NA,1378500
2016,0,365,0,NA,1378500
2017,0,365,0,NA,1378500
1980,65,336,0.19345238095238096,161,1379530
1981,0,341,0,NA,1379530
1982,11,329,0.03343465045592705,190,1379530
1983,45,278,0.1618705035971223,122,1379530
1984,109,323,0.33746130030959753,14,1379530
1985,69,365,0.18904109589041096,2,1379530
1986,153,322,0.4751552795031056,66,1379530
1987,154,253,0.6086956521739131,3,1379530
1988,172,267,0.6441947565543071,1,1379530
1989,7,17,0.4117647058823529,353,1379530
1990,171,365,0.4684931506849315,1,1379530
1991,154,366,0.4207650273224044,6,1379530
1992,75,365,0.2054794520547945,4,1379530
1993,59,365,0.16164383561643836,63,1379530
1994,24,365,0.06575342465753424,59,1379530
1995,112,366,0.30601092896174864,1,1379530
1996,20,365,0.0547945205479452,6,1379530
1997,3,365,0.00821917808219178,117,1379530
1998,13,365,0.03561643835616438,274,1379530
1999,13,366,0.03551912568306011,116,1379530
2000,0,365,0,NA,1379530
2001,0,365,0,NA,1379530
2002,30,365,0.0821917808219178,27,1379530
2003,0,366,0,NA,1379530
2004,0,365,0,NA,1379530
2005,2,365,0.005479452054794521,193,1379530
2006,0,365,0,NA,1379530
2007,0,366,0,NA,1379530
2008,0,365,0,NA,1379530
2009,0,365,0,NA,1379530
2010,0,365,0,NA,1379530
2011,0,366,0,NA,1379530
2012,0,365,0,NA,1379530
2013,0,365,0,NA,1379530
2014,0,365,0,NA,1379530
2015,0,366,0,NA,1379530
2016,0,365,0,NA,1379530
2017,0,365,0,NA,1379530
1980,102,365,0.27945205479452057,104,1382500
1981,77,365,0.21095890410958903,1,1382500
1982,0,365,0,NA,1382500
1983,4,366,0.01092896174863388,212,1382500
1984,0,365,0,NA,1382500
1985,0,365,0,NA,1382500
1986,0,365,0,NA,1382500
1987,0,366,0,NA,1382500
1988,0,365,0,NA,1382500
1989,0,339,0,NA,1382500
1992,8,198,0.04040404040404041,190,1382500
1993,11,365,0.030136986301369864,47,1382500
1994,0,365,0,NA,1382500
1995,0,366,0,NA,1382500
1996,0,365,0,NA,1382500
1997,0,365,0,NA,1382500
1998,0,365,0,NA,1382500
1999,0,366,0,NA,1382500
2000,0,365,0,NA,1382500
2001,0,365,0,NA,1382500
2002,0,365,0,NA,1382500
2003,0,366,0,NA,1382500
2004,0,365,0,NA,1382500
2005,0,365,0,NA,1382500
2006,0,365,0,NA,1382500
2007,0,366,0,NA,1382500
2008,0,365,0,NA,1382500
2009,0,365,0,NA,1382500
2010,0,365,0,NA,1382500
2011,0,366,0,NA,1382500
2012,0,365,0,NA,1382500
2013,0,365,0,NA,1382500
2014,0,365,0,NA,1382500
2015,0,366,0,NA,1382500
2016,0,365,0,NA,1382500
2017,0,365,0,NA,1382500
1980,43,365,0.1178082191780822,184,1388000
1981,26,365,0.07123287671232877,1,1388000
1982,0,365,0,NA,1388000
1983,0,366,0,NA,1388000
1984,0,365,0,NA,1388000
1985,118,365,0.3232876712328767,30,1388000
1986,0,365,0,NA,1388000
1987,0,366,0,NA,1388000
1988,0,365,0,NA,1388000
1989,0,365,0,NA,1388000
1990,0,365,0,NA,1388000
1991,0,366,0,NA,1388000
1992,0,365,0,NA,1388000
1993,0,365,0,NA,1388000
1994,0,365,0,NA,1388000
1995,0,366,0,NA,1388000
1996,0,365,0,NA,1388000
1997,0,365,0,NA,1388000
1998,0,365,0,NA,1388000
1999,0,366,0,NA,1388000
2000,0,365,0,NA,1388000
2001,0,365,0,NA,1388000
2002,0,365,0,NA,1388000
2003,0,366,0,NA,1388000
2004,0,365,0,NA,1388000
2005,0,365,0,NA,1388000
2006,0,365,0,NA,1388000
2007,0,366,0,NA,1388000
2008,0,365,0,NA,1388000
2009,0,365,0,NA,1388000
2010,0,365,0,NA,1388000
2011,0,366,0,NA,1388000
2012,0,365,0,NA,1388000
2013,0,365,0,NA,1388000
2014,0,365,0,NA,1388000
2015,0,366,0,NA,1388000
2016,0,365,0,NA,1388000
2017,0,365,0,NA,1388000
1980,23,365,0.06301369863013699,143,1395000
1981,56,365,0.15342465753424658,80,1395000
1982,14,365,0.038356164383561646,107,1395000
1983,9,366,0.02459016393442623,130,1395000
1984,0,365,0,NA,1395000
1985,0,365,0,NA,1395000
1986,0,365,0,NA,1395000
1987,0,366,0,NA,1395000
1988,0,365,0,NA,1395000
1989,0,365,0,NA,1395000
1990,0,365,0,NA,1395000
1991,0,366,0,NA,1395000
1992,0,365,0,NA,1395000
1993,0,365,0,NA,1395000
1994,0,365,0,NA,1395000
1995,0,366,0,NA,1395000
1996,0,365,0,NA,1395000
1997,0,365,0,NA,1395000
1998,0,365,0,NA,1395000
1999,0,366,0,NA,1395000
2000,0,365,0,NA,1395000
2001,0,365,0,NA,1395000
2002,0,365,0,NA,1395000
2003,0,366,0,NA,1395000
2004,0,365,0,NA,1395000
2005,0,365,0,NA,1395000
2006,0,365,0,NA,1395000
2007,0,366,0,NA,1395000
2008,0,365,0,NA,1395000
2009,0,365,0,NA,1395000
2010,0,365,0,NA,1395000
2011,0,366,0,NA,1395000
2012,0,365,0,NA,1395000
2013,0,365,0,NA,1395000
2014,0,365,0,NA,1395000
2015,0,366,0,NA,1395000
2016,0,365,0,NA,1395000
2017,0,365,0,NA,1395000
1980,1,365,0.0027397260273972603,167,1398000
1981,0,365,0,NA,1398000
1982,0,365,0,NA,1398000
1983,0,366,0,NA,1398000
1984,0,365,0,NA,1398000
1985,0,365,0,NA,1398000
1986,0,365,0,NA,1398000
1987,0,366,0,NA,1398000
1988,0,365,0,NA,1398000
1989,0,365,0,NA,1398000
1990,0,365,0,NA,1398000
1991,0,366,0,NA,1398000
1992,0,365,0,NA,1398000
1993,0,365,0,NA,1398000
1994,0,365,0,NA,1398000
1995,32,366,0.08743169398907104,138,1398000
1996,0,365,0,NA,1398000
1997,0,365,0,NA,1398000
1998,0,365,0,NA,1398000
1999,37,366,0.10109289617486339,98,1398000
2000,0,365,0,NA,1398000
2001,0,365,0,NA,1398000
2002,16,365,0.043835616438356165,109,1398000
2003,0,366,0,NA,1398000
2004,0,365,0,NA,1398000
2005,3,365,0.00821917808219178,159,1398000
2006,0,365,0,NA,1398000
2007,0,366,0,NA,1398000
2008,6,365,0.01643835616438356,149,1398000
2009,0,365,0,NA,1398000
2010,24,365,0.06575342465753424,131,1398000
2011,0,366,0,NA,1398000
2012,0,365,0,NA,1398000
2013,0,365,0,NA,1398000
2014,0,365,0,NA,1398000
2015,1,366,0.00273224043715847,160,1398000
2016,0,365,0,NA,1398000
2017,0,365,0,NA,1398000
1980,102,274,0.3722627737226277,105,1401650
1981,39,365,0.10684931506849316,104,1401650
1982,0,365,0,NA,1401650
1983,5,366,0.01366120218579235,146,1401650
1984,0,365,0,NA,1401650
1985,0,365,0,NA,1401650
1986,0,365,0,NA,1401650
1987,0,366,0,NA,1401650
1988,0,365,0,NA,1401650
1989,0,365,0,NA,1401650
1990,0,365,0,NA,1401650
1991,0,366,0,NA,1401650
1992,0,365,0,NA,1401650
1993,0,365,0,NA,1401650
1994,8,365,0.021917808219178082,104,1401650
1995,33,366,0.09016393442622951,142,1401650
1996,0,365,0,NA,1401650
1997,16,365,0.043835616438356165,106,1401650
1998,126,365,0.3452054794520548,106,1401650
1999,53,366,0.1448087431693989,85,1401650
2000,2,365,0.005479452054794521,104,1401650
2001,24,365,0.06575342465753424,123,1401650
2002,22,365,0.06027397260273973,109,1401650
2003,0,366,0,NA,1401650
2004,0,365,0,NA,1401650
2005,42,365,0.11506849315068493,145,1401650
2006,0,365,0,NA,1401650
2007,0,366,0,NA,1401650
2008,0,365,0,NA,1401650
2009,0,365,0,NA,1401650
2010,24,365,0.06575342465753424,123,1401650
2011,0,366,0,NA,1401650
2012,0,365,0,NA,1401650
2013,0,365,0,NA,1401650
2014,0,365,0,NA,1401650
2015,0,366,0,NA,1401650
2016,4,365,0.010958904109589041,166,1401650
2017,0,365,0,NA,1401650
1980,51,365,0.13972602739726028,86,1403150
1981,0,365,0,NA,1403150
1982,8,365,0.021917808219178082,149,1403150
1983,11,366,0.030054644808743168,157,1403150
1984,0,365,0,NA,1403150
1985,5,365,0.0136986301369863,142,1403150
1986,8,365,0.021917808219178082,86,1403150
1987,0,366,0,NA,1403150
1988,2,365,0.005479452054794521,144,1403150
1989,0,365,0,NA,1403150
1990,0,365,0,NA,1403150
1991,0,366,0,NA,1403150
1992,0,365,0,NA,1403150
1993,18,365,0.049315068493150684,115,1403150
1994,0,365,0,NA,1403150
1995,0,366,0,NA,1403150
1996,0,365,0,NA,1403150
1997,0,365,0,NA,1403150
1998,10,365,0.0273972602739726,164,1403150
1999,6,366,0.01639344262295082,124,1403150
2000,0,365,0,NA,1403150
2001,0,365,0,NA,1403150
2002,32,365,0.08767123287671233,127,1403150
2003,0,366,0,NA,1403150
2004,0,365,0,NA,1403150
2005,0,365,0,NA,1403150
2006,0,365,0,NA,1403150
2007,0,366,0,NA,1403150
2008,0,365,0,NA,1403150
2009,0,365,0,NA,1403150
2010,1,365,0.0027397260273972603,174,1403150
2011,0,366,0,NA,1403150
2012,0,365,0,NA,1403150
2013,0,365,0,NA,1403150
2014,0,365,0,NA,1403150
2015,0,366,0,NA,1403150
2016,1,364,0.0027472527472527475,178,1403150
2017,4,365,0.010958904109589041,216,1403150
1980,0,365,0,NA,1403400
1981,15,365,0.0410958904109589,159,1403400
1982,0,365,0,NA,1403400
1983,0,366,0,NA,1403400
1984,0,365,0,NA,1403400
1985,0,365,0,NA,1403400
1986,0,365,0,NA,1403400
1987,0,366,0,NA,1403400
1988,0,365,0,NA,1403400
1989,0,365,0,NA,1403400
1990,0,365,0,NA,1403400
1991,0,366,0,NA,1403400
1992,0,365,0,NA,1403400
1993,0,365,0,NA,1403400
1994,0,365,0,NA,1403400
1995,0,366,0,NA,1403400
1996,0,365,0,NA,1403400
1997,0,365,0,NA,1403400
1998,0,365,0,NA,1403400
1999,0,366,0,NA,1403400
2000,0,365,0,NA,1403400
2001,0,365,0,NA,1403400
2002,0,365,0,NA,1403400
2003,0,366,0,NA,1403400
2004,0,365,0,NA,1403400
2005,0,365,0,NA,1403400
2006,0,365,0,NA,1403400
2007,0,366,0,NA,1403400
2008,0,365,0,NA,1403400
2009,0,365,0,NA,1403400
2010,0,365,0,NA,1403400
2011,0,366,0,NA,1403400
2012,0,365,0,NA,1403400
2013,0,365,0,NA,1403400
2014,0,365,0,NA,1403400
2015,0,366,0,NA,1403400
2016,0,365,0,NA,1403400
2017,0,365,0,NA,1403400
1980,0,365,0,NA,1403540
1981,0,365,0,NA,1403540
1982,4,365,0.010958904109589041,166,1403540
1983,0,366,0,NA,1403540
1984,0,365,0,NA,1403540
1985,0,365,0,NA,1403540
1986,0,365,0,NA,1403540
1987,0,366,0,NA,1403540
1988,0,365,0,NA,1403540
1989,0,365,0,NA,1403540
1990,0,365,0,NA,1403540
1991,0,366,0,NA,1403540
1992,0,365,0,NA,1403540
1993,0,365,0,NA,1403540
1994,0,365,0,NA,1403540
1995,0,366,0,NA,1403540
1996,0,365,0,NA,1403540
1997,0,365,0,NA,1403540
1998,0,365,0,NA,1403540
1999,0,366,0,NA,1403540
2000,0,365,0,NA,1403540
2001,0,365,0,NA,1403540
2002,0,365,0,NA,1403540
2003,0,366,0,NA,1403540
2004,0,365,0,NA,1403540
2005,0,365,0,NA,1403540
2006,0,365,0,NA,1403540
2007,0,366,0,NA,1403540
2008,0,365,0,NA,1403540
2009,0,365,0,NA,1403540
2010,0,365,0,NA,1403540
2011,0,366,0,NA,1403540
2012,0,365,0,NA,1403540
2013,0,365,0,NA,1403540
2014,0,365,0,NA,1403540
2015,0,366,0,NA,1403540
2016,0,365,0,NA,1403540
2017,0,365,0,NA,1403540
1980,0,365,0,NA,1405400
1981,0,365,0,NA,1405400
1982,0,365,0,NA,1405400
1983,0,366,0,NA,1405400
1984,0,365,0,NA,1405400
1985,0,365,0,NA,1405400
1986,1,365,0.0027397260273972603,195,1405400
1987,0,366,0,NA,1405400
1988,0,365,0,NA,1405400
1989,0,365,0,NA,1405400
1990,0,365,0,NA,1405400
1991,4,366,0.01092896174863388,164,1405400
1992,0,365,0,NA,1405400
1993,0,365,0,NA,1405400
1994,0,365,0,NA,1405400
1995,0,366,0,NA,1405400
1996,0,365,0,NA,1405400
1997,0,365,0,NA,1405400
1998,1,365,0.0027397260273972603,154,1405400
1999,0,366,0,NA,1405400
2000,0,365,0,NA,1405400
2001,0,365,0,NA,1405400
2002,0,365,0,NA,1405400
2003,0,366,0,NA,1405400
2004,0,365,0,NA,1405400
2005,0,365,0,NA,1405400
2006,0,365,0,NA,1405400
2007,0,366,0,NA,1405400
2008,0,365,0,NA,1405400
2009,0,365,0,NA,1405400
2010,0,365,0,NA,1405400
2011,0,366,0,NA,1405400
2012,1,365,0.0027397260273972603,212,1405400
2013,1,365,0.0027397260273972603,197,1405400
2014,0,365,0,NA,1405400
2015,0,366,0,NA,1405400
2016,0,365,0,NA,1405400
2017,0,365,0,NA,1405400
1980,196,365,0.536986301369863,88,1407500
1981,205,365,0.5616438356164384,61,1407500
1982,177,365,0.4849315068493151,105,1407500
1983,123,366,0.3360655737704918,103,1407500
1984,1,365,0.0027397260273972603,205,1407500
1985,180,365,0.4931506849315068,29,1407500
1986,159,365,0.43561643835616437,63,1407500
1987,28,366,0.07650273224043716,141,1407500
1988,253,365,0.6931506849315069,76,1407500
1989,0,365,0,NA,1407500
1990,16,365,0.043835616438356165,191,1407500
1991,168,366,0.45901639344262296,78,1407500
1992,43,365,0.1178082191780822,159,1407500
1993,52,365,0.14246575342465753,90,1407500
1994,13,365,0.03561643835616438,103,1407500
1995,123,366,0.3360655737704918,81,1407500
1996,9,365,0.024657534246575342,89,1407500
1997,103,365,0.2821917808219178,92,1407500
1998,155,365,0.4246575342465753,119,1407500
1999,102,366,0.2786885245901639,67,1407500
2000,49,365,0.13424657534246576,92,1407500
2001,243,365,0.6657534246575343,118,1407500
2002,129,365,0.35342465753424657,12,1407500
2003,6,366,0.01639344262295082,149,1407500
2004,32,365,0.08767123287671233,85,1407500
2005,0,365,0,NA,1407500
2006,0,365,0,NA,1407500
2007,0,366,0,NA,1407500
2008,0,365,0,NA,1407500
2009,0,365,0,NA,1407500
2010,0,365,0,NA,1407500
2011,0,366,0,NA,1407500
2012,0,365,0,NA,1407500
2013,0,365,0,NA,1407500
2014,0,365,0,NA,1407500
2015,0,366,0,NA,1407500
2016,0,365,0,NA,1407500
2017,0,365,0,NA,1407500
1980,0,365,0,NA,1407705
1981,2,365,0.005479452054794521,173,1407705
1982,0,365,0,NA,1407705
1983,0,366,0,NA,1407705
1984,0,365,0,NA,1407705
1985,0,365,0,NA,1407705
1986,0,365,0,NA,1407705
1987,0,366,0,NA,1407705
1988,0,365,0,NA,1407705
1989,0,365,0,NA,1407705
1990,0,365,0,NA,1407705
1991,0,366,0,NA,1407705
1992,0,365,0,NA,1407705
1993,0,365,0,NA,1407705
1994,0,365,0,NA,1407705
1995,0,366,0,NA,1407705
1996,0,365,0,NA,1407705
1997,0,365,0,NA,1407705
1998,0,365,0,NA,1407705
1999,0,366,0,NA,1407705
2000,0,365,0,NA,1407705
2001,0,365,0,NA,1407705
2002,0,365,0,NA,1407705
2003,0,366,0,NA,1407705
2004,0,365,0,NA,1407705
2005,0,365,0,NA,1407705
2006,0,365,0,NA,1407705
2007,0,366,0,NA,1407705
2008,0,365,0,NA,1407705
2009,0,365,0,NA,1407705
2010,0,365,0,NA,1407705
2011,0,366,0,NA,1407705
2012,0,365,0,NA,1407705
2013,0,365,0,NA,1407705
2014,0,365,0,NA,1407705
2015,0,366,0,NA,1407705
2016,0,365,0,NA,1407705
2017,0,365,0,NA,1407705
1983,0,183,0,NA,1472620
1984,6,365,0.01643835616438356,176,1472620
1985,43,365,0.1178082191780822,108,1472620
