predictor,VarPrcIncMSE,metric,region_rf
elev_mean_m_basin,11.4121160043104,annualfractionnoflow,Western Desert
p.pet_jas.previous,15.554986925193626,annualfractionnoflow,Western Desert
p_mm_jas.previous,12.128972870141693,annualfractionnoflow,Western Desert
slope_pct,11.197260510134576,annualfractionnoflow,Western Desert
storage_m,8.625151424211861,annualfractionnoflow,Western Desert
T_min_c_jas.previous,21.47858965311433,annualfractionnoflow,Western Desert
topwet,13.81784944764925,annualfractionnoflow,Western Desert
awcave,18.035661847659156,annualfractionnoflow,Eastern Forests
drain_sqkm,21.416029206971867,annualfractionnoflow,Eastern Forests
p.pet_amj,15.577510878820782,annualfractionnoflow,Eastern Forests
p.pet_cy,18.762579118373363,annualfractionnoflow,Eastern Forests
p.pet_jas,21.13651795994026,annualfractionnoflow,Eastern Forests
p_mm_jas,17.87016657751092,annualfractionnoflow,Eastern Forests
pcumdist50days,10.53411840322583,annualfractionnoflow,Eastern Forests
pet_mm_jas,14.04337183355738,annualfractionnoflow,Eastern Forests
sandave,18.445804110197322,annualfractionnoflow,Eastern Forests
topwet,17.696831862356746,annualfractionnoflow,Eastern Forests
awcave,16.15074521001553,annualfractionnoflow,Western Mountains
clayave,23.1862629147108,annualfractionnoflow,Western Mountains
drain_sqkm,17.177981757589215,annualfractionnoflow,Western Mountains
elev_mean_m_basin,16.704795482270033,annualfractionnoflow,Western Mountains
pet_mm_amj,26.42064301504838,annualfractionnoflow,Western Mountains
pet_mm_cy,23.107115658020454,annualfractionnoflow,Western Mountains
pet_mm_jas,18.692017774685716,annualfractionnoflow,Western Mountains
siltave,13.417307695362076,annualfractionnoflow,Western Mountains
srad_wm2_jfm.previous,22.22977819651112,annualfractionnoflow,Western Mountains
storage_m,22.804530082167535,annualfractionnoflow,Western Mountains
clayave,38.30227786219125,zeroflowfirst,National
drain_sqkm,42.26587995536691,zeroflowfirst,National
p.pet_amj,30.32494157549312,zeroflowfirst,National
p.pet_cy.previous,53.47718870061914,zeroflowfirst,National
p.pet_jfm.previous,40.348219282804024,zeroflowfirst,National
p_mm_amj,27.680787107739114,zeroflowfirst,National
permave,37.71843110747461,zeroflowfirst,National
pet_mm_amj,40.450194548149376,zeroflowfirst,National
siltave,37.59286665369775,zeroflowfirst,National
srad_wm2_jfm.previous,34.54804232798335,zeroflowfirst,National
clayave,13.295799015532333,zeroflowfirst,North Great Plains
p.pet_cy.previous,15.249621935123715,zeroflowfirst,North Great Plains
p.pet_jfm.previous,5.610776652262995,zeroflowfirst,North Great Plains
permave,12.41473756077873,zeroflowfirst,North Great Plains
pet_mm_cy.previous,19.81690302417726,zeroflowfirst,North Great Plains
porosity,13.248291529404478,zeroflowfirst,North Great Plains
siltave,19.788049333422816,zeroflowfirst,North Great Plains
slope_pct,12.609170423468774,zeroflowfirst,North Great Plains
srad_wm2_ond.previous,12.143632810097813,zeroflowfirst,North Great Plains
topwet,13.772904344481255,zeroflowfirst,North Great Plains
depth_bedrock_m,16.99697050315015,zeroflowfirst,Mediterranean California
p.pet_cy.previous,20.828931595506962,zeroflowfirst,Mediterranean California
p.pet_jfm.previous,12.065375538291041,zeroflowfirst,Mediterranean California
p_mm_cy.previous,17.11598287982104,zeroflowfirst,Mediterranean California
p_mm_jfm.previous,15.227671073852243,zeroflowfirst,Mediterranean California
pet_mm_cy.previous,12.357917690023296,zeroflowfirst,Mediterranean California
storage_m,17.045403501358347,zeroflowfirst,Mediterranean California
T_max_c_cy.previous,13.701684192898384,zeroflowfirst,Mediterranean California
T_min_c_cy,5.95760340033455,zeroflowfirst,Mediterranean California
topwet,22.258862449764177,zeroflowfirst,Mediterranean California
clayave,23.649682494097462,zeroflowfirst,South Great Plains
drain_sqkm,24.51450285857399,zeroflowfirst,South Great Plains
elev_mean_m_basin,21.6187828482636,zeroflowfirst,South Great Plains
p.pet_cy.previous,48.24622393279265,zeroflowfirst,South Great Plains
permave,16.117950086577448,zeroflowfirst,South Great Plains
porosity,19.709977789652243,zeroflowfirst,South Great Plains
siltave,18.916006569699274,zeroflowfirst,South Great Plains
slope_pct,19.27039958764226,zeroflowfirst,South Great Plains
srad_wm2_cy.previous,29.096934164296773,zeroflowfirst,South Great Plains
storage_m,14.917765399737249,zeroflowfirst,South Great Plains
clayave,4.287115846536936,zeroflowfirst,Western Desert
drain_sqkm,8.37099714938355,zeroflowfirst,Western Desert
elev_mean_m_basin,7.586222167071217,zeroflowfirst,Western Desert
pet_mm_jfm.previous,4.791260798680062,zeroflowfirst,Western Desert
porosity,5.233049136709782,zeroflowfirst,Western Desert
slope_pct,7.160872596758032,zeroflowfirst,Western Desert
storage_m,5.504478415985265,zeroflowfirst,Western Desert
T_max_c_amj,7.854102017006629,zeroflowfirst,Western Desert
T_min_c_amj,3.2083900275485138,zeroflowfirst,Western Desert
topwet,10.52249277066173,zeroflowfirst,Western Desert
p.pet_amj,21.11821926253726,zeroflowfirst,Eastern Forests
p.pet_cy.previous,16.143956796916804,zeroflowfirst,Eastern Forests
p_mm_amj,17.731669165874898,zeroflowfirst,Eastern Forests
p_mm_jas,10.630027755589156,zeroflowfirst,Eastern Forests
pcumdist10days,18.233543624333237,zeroflowfirst,Eastern Forests
pcumdist50days,14.880954251020489,zeroflowfirst,Eastern Forests
pet_mm_amj,19.77909354589362,zeroflowfirst,Eastern Forests
pet_mm_jfm.previous,19.42703132009311,zeroflowfirst,Eastern Forests
siltave,18.285446179800502,zeroflowfirst,Eastern Forests
srad_wm2_ond.previous,20.439946961761507,zeroflowfirst,Eastern Forests
awcave,10.363232305072778,zeroflowfirst,Western Mountains
clayave,15.03174925944518,zeroflowfirst,Western Mountains
p.pet_cy.previous,12.108093040305354,zeroflowfirst,Western Mountains
p.pet_jfm.previous,11.996997529388208,zeroflowfirst,Western Mountains
p_mm_cy.previous,14.19305554319949,zeroflowfirst,Western Mountains
p_mm_jfm.previous,10.717956805909136,zeroflowfirst,Western Mountains
pet_mm_amj,18.26401934116051,zeroflowfirst,Western Mountains
pet_mm_amj.previous,17.531994008098547,zeroflowfirst,Western Mountains
slope_pct,12.55850512055819,zeroflowfirst,Western Mountains
srad_wm2_ond.previous,22.71165034873482,zeroflowfirst,Western Mountains
clayave,18.47963862603416,peak2z_length,National
depth_bedrock_m,18.600851004195363,peak2z_length,National
drain_sqkm,25.1231643420815,peak2z_length,National
elev_mean_m_basin,28.29610819677144,peak2z_length,National
p.pet_cy.previous,31.653308063165504,peak2z_length,National
permave,20.161710309046533,peak2z_length,National
pet_mm_ond.previous,23.01449180340199,peak2z_length,National
slope_pct,14.672562114866729,peak2z_length,National
storage_m,19.797089551432908,peak2z_length,National
topwet,19.781584640189696,peak2z_length,National
clayave,12.911816030098118,peak2z_length,North Great Plains
depth_bedrock_m,12.16575786189195,peak2z_length,North Great Plains
drain_sqkm,11.553317299837586,peak2z_length,North Great Plains
elev_mean_m_basin,9.145379207989778,peak2z_length,North Great Plains
permave,12.508643146621907,peak2z_length,North Great Plains
porosity,14.956392820037223,peak2z_length,North Great Plains
siltave,14.20304360201185,peak2z_length,North Great Plains
slope_pct,8.399003864398708,peak2z_length,North Great Plains
storage_m,9.603799166881526,peak2z_length,North Great Plains
T_min_c_jas,12.681407706263725,peak2z_length,North Great Plains
depth_bedrock_m,12.600885194018305,peak2z_length,Mediterranean California
p_mm_jas,12.864531601097758,peak2z_length,Mediterranean California
pet_mm_jas,15.155037593819081,peak2z_length,Mediterranean California
pet_mm_jas.previous,13.62314597573208,peak2z_length,Mediterranean California
slope_pct,15.062830120208623,peak2z_length,Mediterranean California
srad_wm2_jas.previous,15.44611187675657,peak2z_length,Mediterranean California
storage_m,11.231554996546228,peak2z_length,Mediterranean California
T_min_c_cy.previous,10.760433200954843,peak2z_length,Mediterranean California
T_min_c_jfm,8.21920117015911,peak2z_length,Mediterranean California
T_min_c_ond.previous,11.637557908790754,peak2z_length,Mediterranean California
clayave,11.666115890704182,peak2z_length,South Great Plains
depth_bedrock_m,12.331881926375337,peak2z_length,South Great Plains
drain_sqkm,13.419467781840115,peak2z_length,South Great Plains
elev_mean_m_basin,16.604798882835986,peak2z_length,South Great Plains
permave,11.226904273140796,peak2z_length,South Great Plains
porosity,16.78862575173058,peak2z_length,South Great Plains
slope_pct,13.950888936632753,peak2z_length,South Great Plains
srad_wm2_amj.previous,6.306818388088979,peak2z_length,South Great Plains
storage_m,13.21532868901656,peak2z_length,South Great Plains
topwet,17.260848400660446,peak2z_length,South Great Plains
awcave,4.647171581773772,peak2z_length,Western Desert
depth_bedrock_m,5.776224647250375,peak2z_length,Western Desert
elev_mean_m_basin,6.135599136712052,peak2z_length,Western Desert
p.pet_jas.previous,8.47292310659116,peak2z_length,Western Desert
pet_mm_jas.previous,6.751820083525667,peak2z_length,Western Desert
slope_pct,5.155095826185285,peak2z_length,Western Desert
srad_wm2_cy,2.444818560414252,peak2z_length,Western Desert
srad_wm2_jfm,-3.0523185887782653,peak2z_length,Western Desert
srad_wm2_jfm.previous,-0.5359891954758415,peak2z_length,Western Desert
srad_wm2_ond,5.728598483126109,peak2z_length,Western Desert
awcave,11.925168496011162,peak2z_length,Eastern Forests
depth_bedrock_m,17.672651634137555,peak2z_length,Eastern Forests
drain_sqkm,20.44283811464927,peak2z_length,Eastern Forests
elev_mean_m_basin,19.542760467477144,peak2z_length,Eastern Forests
permave,22.780021563426764,peak2z_length,Eastern Forests
porosity,18.145949200790547,peak2z_length,Eastern Forests
sandave,13.063217461895212,peak2z_length,Eastern Forests
slope_pct,20.629688445534185,peak2z_length,Eastern Forests
storage_m,16.015131722308453,peak2z_length,Eastern Forests
topwet,20.014689432428284,peak2z_length,Eastern Forests
drain_sqkm,10.244893021127595,peak2z_length,Western Mountains
p.pet_cy.previous,11.018262658162731,peak2z_length,Western Mountains
p.pet_ond.previous,12.584648432912342,peak2z_length,Western Mountains
p_mm_cy.previous,10.885782081860112,peak2z_length,Western Mountains
p_mm_ond.previous,12.235328154710395,peak2z_length,Western Mountains
slope_pct,10.259972497415273,peak2z_length,Western Mountains
srad_wm2_ond.previous,12.923033197656652,peak2z_length,Western Mountains
storage_m,12.483587994475176,peak2z_length,Western Mountains
T_max_c_jfm.previous,7.431692153058186,peak2z_length,Western Mountains
topwet,6.058357827717774,peak2z_length,Western Mountains
