predictor,VarPrcIncMSE,metric,region_rf,kfold
pet_mm_cy.previous,18.91387658405172,annualfractionnoflow,North Great Plains,3
porosity,18.817127456807913,annualfractionnoflow,North Great Plains,3
T_max_c_amj.previous,19.120430657946635,annualfractionnoflow,North Great Plains,3
topwet,23.946484998978207,annualfractionnoflow,North Great Plains,3
clayave,26.96357136799378,annualfractionnoflow,North Great Plains,4
depth_bedrock_m,15.241627243329292,annualfractionnoflow,North Great Plains,4
lulc_ag_prc,24.083389986460343,annualfractionnoflow,North Great Plains,4
lulc_barren_prc,26.522664999608224,annualfractionnoflow,North Great Plains,4
lulc_forest_prc,19.448386557957917,annualfractionnoflow,North Great Plains,4
lulc_water_prc,20.44134102098113,annualfractionnoflow,North Great Plains,4
p.pet_amj,14.968123949179988,annualfractionnoflow,North Great Plains,4
p.pet_cy,22.55281079176719,annualfractionnoflow,North Great Plains,4
p.pet_cy.previous,21.729699098557006,annualfractionnoflow,North Great Plains,4
p_mm_cy,34.04880181913659,annualfractionnoflow,North Great Plains,4
p_mm_cy.previous,21.49485924751621,annualfractionnoflow,North Great Plains,4
permave,21.072602051724694,annualfractionnoflow,North Great Plains,4
pet_mm_amj,16.664657095567915,annualfractionnoflow,North Great Plains,4
pet_mm_amj.previous,15.783910507930475,annualfractionnoflow,North Great Plains,4
pet_mm_cy.previous,19.57305028261515,annualfractionnoflow,North Great Plains,4
porosity,16.842873949132596,annualfractionnoflow,North Great Plains,4
T_max_c_amj.previous,18.73049584662619,annualfractionnoflow,North Great Plains,4
topwet,18.949066213293634,annualfractionnoflow,North Great Plains,4
clayave,22.82310155542643,annualfractionnoflow,North Great Plains,5
depth_bedrock_m,19.525725851822376,annualfractionnoflow,North Great Plains,5
lulc_ag_prc,25.661800417466832,annualfractionnoflow,North Great Plains,5
lulc_barren_prc,23.1146828655617,annualfractionnoflow,North Great Plains,5
lulc_forest_prc,42.517728057580726,annualfractionnoflow,North Great Plains,5
lulc_water_prc,19.567951074471864,annualfractionnoflow,North Great Plains,5
p.pet_amj,20.707994615028785,annualfractionnoflow,North Great Plains,5
p.pet_cy,17.944680241080192,annualfractionnoflow,North Great Plains,5
p.pet_cy.previous,20.596734428979854,annualfractionnoflow,North Great Plains,5
p_mm_cy,31.48382904724108,annualfractionnoflow,North Great Plains,5
p_mm_cy.previous,25.424150693994203,annualfractionnoflow,North Great Plains,5
permave,20.40697956746535,annualfractionnoflow,North Great Plains,5
pet_mm_amj,17.151378082249487,annualfractionnoflow,North Great Plains,5
pet_mm_amj.previous,16.80442565181727,annualfractionnoflow,North Great Plains,5
pet_mm_cy.previous,21.9576944219253,annualfractionnoflow,North Great Plains,5
porosity,19.69557781178218,annualfractionnoflow,North Great Plains,5
T_max_c_amj.previous,17.02647514779922,annualfractionnoflow,North Great Plains,5
topwet,20.085483301136595,annualfractionnoflow,North Great Plains,5
depth_bedrock_m,42.92991179545476,annualfractionnoflow,Mediterranean California,1
drain_sqkm,33.78494324201839,annualfractionnoflow,Mediterranean California,1
irrig_prc,39.75974269448242,annualfractionnoflow,Mediterranean California,1
lulc_ag_prc,40.775548875725924,annualfractionnoflow,Mediterranean California,1
lulc_barren_prc,33.96780493586936,annualfractionnoflow,Mediterranean California,1
lulc_dev_prc,35.98383478301929,annualfractionnoflow,Mediterranean California,1
lulc_forest_prc,33.58654362432229,annualfractionnoflow,Mediterranean California,1
lulc_grass_prc,36.81511314381726,annualfractionnoflow,Mediterranean California,1
lulc_water_prc,39.64374119945863,annualfractionnoflow,Mediterranean California,1
lulc_wetland_prc,33.4354535575114,annualfractionnoflow,Mediterranean California,1
p.pet_cy.previous,43.15509074833952,annualfractionnoflow,Mediterranean California,1
p_mm_cy.previous,35.43735088171608,annualfractionnoflow,Mediterranean California,1
permave,30.835924356625025,annualfractionnoflow,Mediterranean California,1
siltave,32.23914276750746,annualfractionnoflow,Mediterranean California,1
slope_pct,30.116450880728102,annualfractionnoflow,Mediterranean California,1
storage_m,20.66320787208545,annualfractionnoflow,Mediterranean California,1
topwet,29.41895004840522,annualfractionnoflow,Mediterranean California,1
wuse_mm,36.10431190671106,annualfractionnoflow,Mediterranean California,1
depth_bedrock_m,43.46189466656957,annualfractionnoflow,Mediterranean California,2
drain_sqkm,28.775253864250594,annualfractionnoflow,Mediterranean California,2
irrig_prc,36.713790463279366,annualfractionnoflow,Mediterranean California,2
lulc_ag_prc,33.43822250967735,annualfractionnoflow,Mediterranean California,2
lulc_barren_prc,38.4127626558848,annualfractionnoflow,Mediterranean California,2
lulc_dev_prc,35.024285268608345,annualfractionnoflow,Mediterranean California,2
lulc_forest_prc,32.020197534886535,annualfractionnoflow,Mediterranean California,2
lulc_grass_prc,37.61865318932459,annualfractionnoflow,Mediterranean California,2
lulc_water_prc,36.928699396887545,annualfractionnoflow,Mediterranean California,2
lulc_wetland_prc,31.121965410564606,annualfractionnoflow,Mediterranean California,2
p.pet_cy.previous,42.252549822656135,annualfractionnoflow,Mediterranean California,2
p_mm_cy.previous,38.22568231895014,annualfractionnoflow,Mediterranean California,2
permave,26.85347861763713,annualfractionnoflow,Mediterranean California,2
siltave,30.090484068156755,annualfractionnoflow,Mediterranean California,2
slope_pct,25.075157504068546,annualfractionnoflow,Mediterranean California,2
storage_m,27.06222213876769,annualfractionnoflow,Mediterranean California,2
topwet,28.932196854887312,annualfractionnoflow,Mediterranean California,2
wuse_mm,42.12407749938463,annualfractionnoflow,Mediterranean California,2
depth_bedrock_m,34.60216115222645,annualfractionnoflow,Mediterranean California,3
drain_sqkm,29.066557687519833,annualfractionnoflow,Mediterranean California,3
irrig_prc,40.520509810858194,annualfractionnoflow,Mediterranean California,3
lulc_ag_prc,33.713743039587605,annualfractionnoflow,Mediterranean California,3
lulc_barren_prc,31.407257629636455,annualfractionnoflow,Mediterranean California,3
lulc_dev_prc,36.538981340008895,annualfractionnoflow,Mediterranean California,3
lulc_forest_prc,33.339021860780846,annualfractionnoflow,Mediterranean California,3
lulc_grass_prc,33.27328201840331,annualfractionnoflow,Mediterranean California,3
lulc_water_prc,38.1809213296169,annualfractionnoflow,Mediterranean California,3
lulc_wetland_prc,29.505082157189676,annualfractionnoflow,Mediterranean California,3
p.pet_cy.previous,38.257481132900345,annualfractionnoflow,Mediterranean California,3
p_mm_cy.previous,37.84206297669588,annualfractionnoflow,Mediterranean California,3
permave,32.96659613052927,annualfractionnoflow,Mediterranean California,3
siltave,33.93136222062821,annualfractionnoflow,Mediterranean California,3
slope_pct,30.08207590346064,annualfractionnoflow,Mediterranean California,3
storage_m,29.13731365355469,annualfractionnoflow,Mediterranean California,3
topwet,34.31515322523115,annualfractionnoflow,Mediterranean California,3
wuse_mm,45.31302105635845,annualfractionnoflow,Mediterranean California,3
depth_bedrock_m,31.35011894216263,annualfractionnoflow,Mediterranean California,4
drain_sqkm,33.55970307649449,annualfractionnoflow,Mediterranean California,4
irrig_prc,31.994822463917842,annualfractionnoflow,Mediterranean California,4
lulc_ag_prc,30.467969981015283,annualfractionnoflow,Mediterranean California,4
lulc_barren_prc,31.773185354003626,annualfractionnoflow,Mediterranean California,4
lulc_dev_prc,37.96936971588419,annualfractionnoflow,Mediterranean California,4
lulc_forest_prc,36.155188712295526,annualfractionnoflow,Mediterranean California,4
lulc_grass_prc,29.87117654727723,annualfractionnoflow,Mediterranean California,4
lulc_water_prc,33.546056512088775,annualfractionnoflow,Mediterranean California,4
lulc_wetland_prc,36.98330186424196,annualfractionnoflow,Mediterranean California,4
p.pet_cy.previous,39.80598140355837,annualfractionnoflow,Mediterranean California,4
p_mm_cy.previous,40.17237381664717,annualfractionnoflow,Mediterranean California,4
permave,30.949201533471047,annualfractionnoflow,Mediterranean California,4
siltave,24.910835723923277,annualfractionnoflow,Mediterranean California,4
slope_pct,26.68781456541299,annualfractionnoflow,Mediterranean California,4
storage_m,24.269803489041262,annualfractionnoflow,Mediterranean California,4
topwet,34.31574252792561,annualfractionnoflow,Mediterranean California,4
wuse_mm,38.83649802628908,annualfractionnoflow,Mediterranean California,4
depth_bedrock_m,28.36961398664441,annualfractionnoflow,Mediterranean California,5
drain_sqkm,29.114583974382864,annualfractionnoflow,Mediterranean California,5
irrig_prc,41.83163478885535,annualfractionnoflow,Mediterranean California,5
lulc_ag_prc,35.42622627940981,annualfractionnoflow,Mediterranean California,5
lulc_barren_prc,36.91459723681984,annualfractionnoflow,Mediterranean California,5
lulc_dev_prc,37.76578541841792,annualfractionnoflow,Mediterranean California,5
lulc_forest_prc,40.24202047083107,annualfractionnoflow,Mediterranean California,5
lulc_grass_prc,39.15085275905007,annualfractionnoflow,Mediterranean California,5
lulc_water_prc,39.24761721473631,annualfractionnoflow,Mediterranean California,5
lulc_wetland_prc,35.01794604992007,annualfractionnoflow,Mediterranean California,5
p.pet_cy.previous,41.04599300827162,annualfractionnoflow,Mediterranean California,5
p_mm_cy.previous,37.923886464641335,annualfractionnoflow,Mediterranean California,5
permave,29.33395843060373,annualfractionnoflow,Mediterranean California,5
siltave,28.455749496700562,annualfractionnoflow,Mediterranean California,5
slope_pct,25.20675179242812,annualfractionnoflow,Mediterranean California,5
storage_m,35.001460070231424,annualfractionnoflow,Mediterranean California,5
topwet,29.909057378263185,annualfractionnoflow,Mediterranean California,5
wuse_mm,38.64339768769687,annualfractionnoflow,Mediterranean California,5
drain_sqkm,24.544567214242793,annualfractionnoflow,South Great Plains,1
elev_mean_m_basin,29.182939360383624,annualfractionnoflow,South Great Plains,1
irrig_prc,40.24332202830645,annualfractionnoflow,South Great Plains,1
lulc_barren_prc,50.51337733451762,annualfractionnoflow,South Great Plains,1
lulc_dev_prc,44.106012280364716,annualfractionnoflow,South Great Plains,1
lulc_forest_prc,41.28849846270436,annualfractionnoflow,South Great Plains,1
lulc_grass_prc,54.613960679402176,annualfractionnoflow,South Great Plains,1
lulc_water_prc,54.66489156431514,annualfractionnoflow,South Great Plains,1
lulc_wetland_prc,48.30740649468065,annualfractionnoflow,South Great Plains,1
normstorage_af,25.986422032596018,annualfractionnoflow,South Great Plains,1
permave,25.75734912414435,annualfractionnoflow,South Great Plains,1
porosity,32.49182235298655,annualfractionnoflow,South Great Plains,1
sandave,25.225637077619744,annualfractionnoflow,South Great Plains,1
siltave,28.810916508769704,annualfractionnoflow,South Great Plains,1
slope_pct,29.04983297271137,annualfractionnoflow,South Great Plains,1
T_max_c_jas,65.55936247053127,annualfractionnoflow,South Great Plains,1
topwet,29.205466337684687,annualfractionnoflow,South Great Plains,1
wuse_mm,45.34088321746944,annualfractionnoflow,South Great Plains,1
drain_sqkm,27.127741519943452,annualfractionnoflow,South Great Plains,2
elev_mean_m_basin,28.02842078816575,annualfractionnoflow,South Great Plains,2
irrig_prc,41.71090721642499,annualfractionnoflow,South Great Plains,2
lulc_barren_prc,48.177308828458706,annualfractionnoflow,South Great Plains,2
lulc_dev_prc,39.308402799757715,annualfractionnoflow,South Great Plains,2
lulc_forest_prc,42.1519314041346,annualfractionnoflow,South Great Plains,2
lulc_grass_prc,54.28131673234214,annualfractionnoflow,South Great Plains,2
lulc_water_prc,53.16497385829325,annualfractionnoflow,South Great Plains,2
lulc_wetland_prc,48.34159623926395,annualfractionnoflow,South Great Plains,2
normstorage_af,25.136259735255695,annualfractionnoflow,South Great Plains,2
permave,29.528319604434717,annualfractionnoflow,South Great Plains,2
porosity,29.274903253848372,annualfractionnoflow,South Great Plains,2
sandave,23.674473798626863,annualfractionnoflow,South Great Plains,2
siltave,30.028335897092603,annualfractionnoflow,South Great Plains,2
slope_pct,28.35996397627508,annualfractionnoflow,South Great Plains,2
T_max_c_jas,62.62893621804813,annualfractionnoflow,South Great Plains,2
topwet,26.778479066290164,annualfractionnoflow,South Great Plains,2
wuse_mm,42.15214026465103,annualfractionnoflow,South Great Plains,2
drain_sqkm,26.44693138960387,annualfractionnoflow,South Great Plains,3
elev_mean_m_basin,25.223577792975195,annualfractionnoflow,South Great Plains,3
irrig_prc,40.271403647649386,annualfractionnoflow,South Great Plains,3
lulc_barren_prc,42.79859781202081,annualfractionnoflow,South Great Plains,3
lulc_dev_prc,32.62887297812317,annualfractionnoflow,South Great Plains,3
lulc_forest_prc,38.07833787568246,annualfractionnoflow,South Great Plains,3
lulc_grass_prc,49.545470581380016,annualfractionnoflow,South Great Plains,3
lulc_water_prc,45.61509244822263,annualfractionnoflow,South Great Plains,3
lulc_wetland_prc,48.08637443161929,annualfractionnoflow,South Great Plains,3
normstorage_af,32.01149141716097,annualfractionnoflow,South Great Plains,3
permave,24.890753351415817,annualfractionnoflow,South Great Plains,3
porosity,27.96097539784745,annualfractionnoflow,South Great Plains,3
sandave,24.302595283203335,annualfractionnoflow,South Great Plains,3
siltave,33.33236511753999,annualfractionnoflow,South Great Plains,3
slope_pct,25.317803446005303,annualfractionnoflow,South Great Plains,3
T_max_c_jas,63.10486257249984,annualfractionnoflow,South Great Plains,3
topwet,29.324595368983395,annualfractionnoflow,South Great Plains,3
wuse_mm,38.41992268876137,annualfractionnoflow,South Great Plains,3
drain_sqkm,25.751237971789223,annualfractionnoflow,South Great Plains,4
elev_mean_m_basin,23.957243805873798,annualfractionnoflow,South Great Plains,4
irrig_prc,37.50697542467244,annualfractionnoflow,South Great Plains,4
lulc_barren_prc,48.56164463133499,annualfractionnoflow,South Great Plains,4
lulc_dev_prc,47.9161882874415,annualfractionnoflow,South Great Plains,4
lulc_forest_prc,44.32306446107838,annualfractionnoflow,South Great Plains,4
lulc_grass_prc,57.36124753233319,annualfractionnoflow,South Great Plains,4
lulc_water_prc,57.13009628628515,annualfractionnoflow,South Great Plains,4
lulc_wetland_prc,51.43938689616319,annualfractionnoflow,South Great Plains,4
normstorage_af,28.292938041117225,annualfractionnoflow,South Great Plains,4
permave,26.87529529141756,annualfractionnoflow,South Great Plains,4
porosity,32.97862502156724,annualfractionnoflow,South Great Plains,4
sandave,28.197708922669715,annualfractionnoflow,South Great Plains,4
siltave,33.23984932383668,annualfractionnoflow,South Great Plains,4
slope_pct,32.24406878821288,annualfractionnoflow,South Great Plains,4
T_max_c_jas,65.55264570089086,annualfractionnoflow,South Great Plains,4
topwet,26.87066056620066,annualfractionnoflow,South Great Plains,4
wuse_mm,46.652740488673636,annualfractionnoflow,South Great Plains,4
drain_sqkm,26.741633047626255,annualfractionnoflow,South Great Plains,5
elev_mean_m_basin,28.106228161946913,annualfractionnoflow,South Great Plains,5
irrig_prc,41.83941129650002,annualfractionnoflow,South Great Plains,5
lulc_barren_prc,44.40055088602622,annualfractionnoflow,South Great Plains,5
lulc_dev_prc,43.216653586409016,annualfractionnoflow,South Great Plains,5
lulc_forest_prc,39.507604707665486,annualfractionnoflow,South Great Plains,5
lulc_grass_prc,47.82002250361505,annualfractionnoflow,South Great Plains,5
lulc_water_prc,42.55817039396441,annualfractionnoflow,South Great Plains,5
lulc_wetland_prc,45.92336747766689,annualfractionnoflow,South Great Plains,5
normstorage_af,30.556715429163866,annualfractionnoflow,South Great Plains,5
permave,24.610713816694165,annualfractionnoflow,South Great Plains,5
porosity,29.987092606268032,annualfractionnoflow,South Great Plains,5
sandave,22.615215216618612,annualfractionnoflow,South Great Plains,5
siltave,29.703926165925107,annualfractionnoflow,South Great Plains,5
slope_pct,25.43258303760946,annualfractionnoflow,South Great Plains,5
T_max_c_jas,78.04439424454354,annualfractionnoflow,South Great Plains,5
topwet,24.34441993515637,annualfractionnoflow,South Great Plains,5
wuse_mm,43.76690234113041,annualfractionnoflow,South Great Plains,5
depth_bedrock_m,14.988393152223985,annualfractionnoflow,Western Desert,1
lulc_barren_prc,19.652912417589185,annualfractionnoflow,Western Desert,1
lulc_forest_prc,25.332526589621935,annualfractionnoflow,Western Desert,1
lulc_grass_prc,24.885707120334054,annualfractionnoflow,Western Desert,1
lulc_water_prc,14.762825655568708,annualfractionnoflow,Western Desert,1
lulc_wetland_prc,21.107042317231052,annualfractionnoflow,Western Desert,1
p.pet_cy,15.945496131122315,annualfractionnoflow,Western Desert,1
p.pet_jas,16.814916054121085,annualfractionnoflow,Western Desert,1
p_mm_cy,15.802088891758988,annualfractionnoflow,Western Desert,1
p_mm_jas,16.791484937533298,annualfractionnoflow,Western Desert,1
permave,15.923957023382345,annualfractionnoflow,Western Desert,1
pet_mm_cy,20.520404223618968,annualfractionnoflow,Western Desert,1
porosity,31.523133944677937,annualfractionnoflow,Western Desert,1
slope_pct,19.34430477611955,annualfractionnoflow,Western Desert,1
storage_m,17.055913940972733,annualfractionnoflow,Western Desert,1
T_max_c_cy,20.353446053826815,annualfractionnoflow,Western Desert,1
T_max_c_cy.previous,18.446108521105234,annualfractionnoflow,Western Desert,1
wuse_mm,19.4443707720104,annualfractionnoflow,Western Desert,1
depth_bedrock_m,14.793612908334373,annualfractionnoflow,Western Desert,2
lulc_barren_prc,18.890247388471114,annualfractionnoflow,Western Desert,2
lulc_forest_prc,24.79154909521675,annualfractionnoflow,Western Desert,2
lulc_grass_prc,22.93540396074565,annualfractionnoflow,Western Desert,2
lulc_water_prc,18.636220248889465,annualfractionnoflow,Western Desert,2
lulc_wetland_prc,23.814674232298074,annualfractionnoflow,Western Desert,2
p.pet_cy,14.701817199619487,annualfractionnoflow,Western Desert,2
p.pet_jas,19.059868264094387,annualfractionnoflow,Western Desert,2
p_mm_cy,16.310476868195593,annualfractionnoflow,Western Desert,2
p_mm_jas,16.45247556836799,annualfractionnoflow,Western Desert,2
permave,18.14613982197201,annualfractionnoflow,Western Desert,2
pet_mm_cy,20.76533496183161,annualfractionnoflow,Western Desert,2
porosity,28.37210859438153,annualfractionnoflow,Western Desert,2
slope_pct,28.46206584290512,annualfractionnoflow,Western Desert,2
storage_m,15.989823812178967,annualfractionnoflow,Western Desert,2
T_max_c_cy,23.946623971303246,annualfractionnoflow,Western Desert,2
T_max_c_cy.previous,20.245387376905896,annualfractionnoflow,Western Desert,2
wuse_mm,21.800141923696774,annualfractionnoflow,Western Desert,2
depth_bedrock_m,14.280603889743318,annualfractionnoflow,Western Desert,3
lulc_barren_prc,17.97157100303442,annualfractionnoflow,Western Desert,3
lulc_forest_prc,22.175591975651646,annualfractionnoflow,Western Desert,3
lulc_grass_prc,20.60022731683725,annualfractionnoflow,Western Desert,3
lulc_water_prc,11.61579381247914,annualfractionnoflow,Western Desert,3
lulc_wetland_prc,24.257860487116762,annualfractionnoflow,Western Desert,3
p.pet_cy,16.62105162809267,annualfractionnoflow,Western Desert,3
p.pet_jas,18.572903038905753,annualfractionnoflow,Western Desert,3
p_mm_cy,18.527488255430153,annualfractionnoflow,Western Desert,3
p_mm_jas,17.418581433371394,annualfractionnoflow,Western Desert,3
permave,15.230431155066366,annualfractionnoflow,Western Desert,3
pet_mm_cy,21.463214177773807,annualfractionnoflow,Western Desert,3
porosity,17.10691803504886,annualfractionnoflow,Western Desert,3
slope_pct,31.87227858797569,annualfractionnoflow,Western Desert,3
